Block,Location Description,Latitude,Longitude,X Coordinate,Y Coordinate,Community Area,Ward,District,Beat,LocationID
082XX S MERRILL AVE,RESIDENCE,41.745689819,-87.572222517,1191952.0,1850839.0,46,8,4,414,583472
026XX W 42ND ST,STREET,41.817419278,-87.691168779,1159297.0,1876712.0,58,12,9,921,239467
004XX W MADISON ST,OTHER,41.881895543,-87.638349075,1173505.0,1900319.0,28,42,1,121,222250
076XX S COLFAX AVE,APARTMENT,41.756298891,-87.561468638,1194852.0,1854731.0,43,7,4,421,497316
028XX N MONITOR AVE,RESIDENCE,41.93177757,-87.772340626,1136898.0,1918229.0,19,30,25,2514,723936
008XX W JACKSON BLVD,STREET,41.87794002,-87.647759117,1170954.0,1898857.0,28,27,12,1232,45391
014XX W 49TH PL,APARTMENT,41.804101947,-87.661064861,1167541.0,1871922.0,61,16,9,933,370412
033XX N CENTRAL PARK AVE,STREET,41.941644534,-87.717476292,1151801.0,1921927.0,21,35,17,1732,628923
047XX S WESTERN AVE,AIRCRAFT,41.808201741,-87.684420054,1161162.0,1873367.0,58,12,9,922,686105
069XX W FLETCHER ST,RESIDENCE,41.937189893,-87.800134144,1129323.0,1920153.0,18,36,25,2511,704659
044XX W NORTH AVE,STREET,41.909740492,-87.737301918,1146488.0,1910263.0,23,37,25,2533,54499
071XX S JEFFERY BLVD,CREDIT UNION,41.76587359,-87.576294705,1190776.0,1858184.0,43,5,3,333,36742
005XX N LARAMIE AVE,SIDEWALK,41.889698545,-87.755407107,1141609.0,1902926.0,25,28,15,1532,720404
032XX N CENTRAL AVE,STREET,41.938804329,-87.766508564,1138468.0,1920800.0,15,38,16,1633,308213
018XX N WINNEBAGO AVE,STREET,41.915430649,-87.686832718,1160210.0,1912436.0,22,1,14,1434,259139
069XX S WASHTENAW AVE,APARTMENT,41.767503291,-87.690655093,1159573.0,1858524.0,66,18,8,831,672181
030XX S DR MARTIN LUTHER KING JR DR,SIDEWALK,41.838979494,-87.617121826,1179416.0,1884728.0,35,4,1,133,452701
016XX N CLAREMONT AVE,RESIDENCE PORCH/HALLWAY,41.911175275,-87.686023322,1160442.0,1910887.0,24,1,14,1434,146377
044XX S WESTERN AVE,STREET,41.813131283,-87.684564717,1161109.0,1875163.0,58,12,9,922,131161
011XX N LA SALLE DR,SIDEWALK,41.902762454,-87.632884581,1174931.0,1907935.0,8,43,18,1824,154551
082XX S KEDZIE AVE,GAS STATION,41.743867618,-87.702228253,1156479.0,1849888.0,70,18,8,834,140890
046XX N WESTERN AVE,SIDEWALK,41.966108362,-87.688828331,1159528.0,1930899.0,4,47,19,1911,513631
019XX W SCHOOL ST,APARTMENT,41.941413646,-87.677278377,1162738.0,1921924.0,5,32,19,1922,682149
116XX S THROOP ST,SIDEWALK,41.682645314,-87.654236499,1169752.0,1827679.0,53,34,5,524,112015
111XX S AVENUE N,RESIDENCE,41.693031434,-87.538902274,1201222.0,1831733.0,52,10,4,433,204252
0000X W POLK ST,COMMERCIAL / BUSINESS OFFICE,41.87227988,-87.629365941,1175980.0,1896835.0,32,2,1,123,375896
015XX N MILWAUKEE AVE,SIDEWALK,41.909879125,-87.676686601,1162987.0,1910434.0,24,1,14,1424,208509
010XX W 76TH ST,SIDEWALK,41.755999188,-87.651151149,1170383.0,1854415.0,71,17,6,612,669757
019XX S STATE ST,STREET,41.856163101,-87.627164092,1176628.0,1890967.0,33,3,1,131,115834
048XX S AVERS AVE,RESIDENCE,41.805616237,-87.719807757,1151521.0,1872354.0,57,14,8,821,334733
019XX N CENTRAL PARK AVE,RESIDENCE,41.916108296,-87.71673719,1152069.0,1912623.0,22,26,25,2535,39739
065XX S KENNETH AVE,STREET,41.774116103,-87.733621082,1147835.0,1860849.0,65,13,8,833,45614
065XX S CLAREMONT AVE,RESIDENCE PORCH/HALLWAY,41.775051748,-87.682173389,1161866.0,1861292.0,66,15,8,832,537952
034XX N HARLEM AVE,STREET,41.942322638,-87.806902398,1127470.0,1922012.0,17,36,16,1631,660616
025XX W BERWYN AVE,RESIDENCE,41.977685334,-87.69309542,1158336.0,1935109.0,4,40,20,2011,138638
044XX S ASHLAND AVE,OTHER,41.813074487,-87.665083162,1166420.0,1875183.0,61,12,9,924,370279
019XX S CLARK ST,PARKING LOT/GARAGE(NON.RESID.),41.856291443,-87.630191028,1175803.0,1891007.0,34,25,1,131,27541
091XX S ABERDEEN ST,STREET,41.728070324,-87.65068471,1170591.0,1844239.0,73,21,22,2222,640169
035XX N NARRAGANSETT AVE,STREET,41.945116213,-87.786346237,1133056.0,1923065.0,17,36,16,1632,369886
057XX S PULASKI RD,STREET,41.788283961,-87.723020197,1150690.0,1866032.0,62,13,8,822,757423
014XX E 76TH ST,ALLEY,41.756904339,-87.590451929,1186942.0,1854882.0,43,5,4,411,180773
010XX W LELAND AVE,STREET,41.967238371,-87.656767411,1168244.0,1931378.0,3,46,19,1914,182868
014XX S HOMAN AVE,RESIDENCE,41.862023566,-87.710417899,1153932.0,1892927.0,29,24,10,1021,646237
012XX W 61ST ST,RESIDENCE,41.78321908,-87.656586189,1168822.0,1864322.0,67,16,7,713,37766
017XX W FULTON ST,PARKING LOT/GARAGE(NON.RESID.),41.886869524,-87.670620311,1164703.0,1902062.0,28,27,12,1215,283839
029XX W DEVON AVE,RESTAURANT,41.997488812,-87.703760556,1155383.0,1942304.0,2,50,24,2412,543837
031XX W HURON ST,CHA APARTMENT,41.893732184,-87.705665711,1155142.0,1904491.0,23,27,12,1313,245546
013XX W 32ND PL,STREET,41.835062425,-87.65958873,1167855.0,1883207.0,60,11,9,913,653076
073XX S MAY ST,STREET,41.760849853,-87.65278947,1169922.0,1856179.0,68,17,7,733,549200
008XX E 88TH PL,RESIDENCE,41.733931965,-87.603327317,1183500.0,1846481.0,44,8,6,632,394347
039XX W 55TH ST,STREET,41.793229666,-87.721565103,1151074.0,1867837.0,62,23,8,822,159100
038XX W 64TH ST,STREET,41.776886079,-87.718747164,1151885.0,1861887.0,65,13,8,823,462374
066XX S RACINE AVE,RESIDENTIAL YARD (FRONT/BACK),41.773438861,-87.654335436,1169464.0,1860763.0,68,17,7,724,134204
043XX W CORTEZ ST,STREET,41.899797013,-87.734452142,1147289.0,1906645.0,23,37,11,1111,552972
009XX W MARQUETTE RD,VACANT LOT/LAND,41.772416732,-87.648576027,1171038.0,1860403.0,68,17,7,723,438632
037XX N HALSTED ST,OTHER,41.949503736,-87.649555049,1170257.0,1924931.0,6,46,19,1923,298078
063XX S TALMAN AVE,SIDEWALK,41.778697566,-87.689725751,1159796.0,1862605.0,66,15,8,825,60604
050XX S TALMAN AVE,APARTMENT,41.802230712,-87.690370537,1159556.0,1871179.0,63,14,9,923,575902
037XX S WELLS ST,CHA PARKING LOT/GROUNDS,41.826035531,-87.632815315,1175178.0,1879976.0,34,3,9,925,91146
029XX W MADISON ST,BARBERSHOP,41.88104652,-87.699348928,1156896.0,1899881.0,27,2,12,1331,64882
067XX S OAKLEY AVE,RESIDENCE,41.771312211,-87.680887828,1162227.0,1859932.0,66,17,8,832,312460
001XX E KENSINGTON AVE,STREET,41.683948674,-87.619337963,1179281.0,1828231.0,53,9,5,532,49956
022XX S RIDGEWAY AVE,RESIDENCE PORCH/HALLWAY,41.851118266,-87.71863905,1151721.0,1888937.0,30,22,10,1013,565334
079XX S MARQUETTE AVE,SIDEWALK,41.751097947,-87.558947322,1195557.0,1852842.0,46,7,4,422,590540
034XX N KILDARE AVE,STREET,41.943203768,-87.734696711,1147112.0,1922462.0,16,30,17,1731,640257
108XX S FOREST AVE,RESIDENCE-GARAGE,41.697314307,-87.615931263,1180171.0,1833109.0,49,9,5,513,586459
010XX E 73RD ST,SIDEWALK,41.762303705,-87.598768663,1184656.0,1856830.0,69,5,3,324,46152
014XX S HAMLIN AVE,RESIDENCE PORCH/HALLWAY,41.861538108,-87.720158188,1151280.0,1892731.0,29,24,10,1011,367010
021XX W MAYPOLE AVE,APARTMENT,41.883928187,-87.68028685,1162079.0,1900970.0,28,2,12,1332,225412
009XX E 130TH ST,CHA APARTMENT,41.659207892,-87.600501367,1184503.0,1819259.0,54,9,5,533,713768
030XX W 63RD ST,STREET,41.779020089,-87.6998599,1157031.0,1862702.0,66,15,8,823,154267
013XX W THORNDALE AVE,APARTMENT,41.989948047,-87.664034588,1166203.0,1939638.0,77,48,20,2013,692517
064XX N DAMEN AVE,RESIDENCE PORCH/HALLWAY,41.998495776,-87.680157895,1161796.0,1942719.0,2,50,24,2412,667026
113XX S NORMAL AVE,ALLEY,41.687873195,-87.634989851,1174994.0,1829626.0,49,34,22,2233,372041
077XX S SAWYER AVE,RESIDENCE,41.752654658,-87.703685075,1156058.0,1853087.0,70,18,8,835,559234
023XX W BELMONT AVE,RESIDENCE,41.939475364,-87.686314238,1160285.0,1921199.0,5,1,19,1921,153615
105XX S COTTAGE GROVE AVE,RESIDENCE,41.703172495,-87.607476506,1182462.0,1835263.0,50,9,5,512,195302
024XX W 59TH ST,STREET,41.786538669,-87.685448906,1160941.0,1865471.0,63,16,8,824,543976
002XX E 69TH ST,OTHER,41.769259651,-87.619532804,1178970.0,1859317.0,69,6,3,322,420263
013XX W 93RD ST,STREET,41.72495098,-87.655945175,1169164.0,1843091.0,73,21,22,2222,518283
039XX W FLOURNOY ST,APARTMENT,41.872560678,-87.723559287,1150325.0,1896741.0,26,24,11,1132,676960
026XX N MAGNOLIA AVE,STREET,41.929710032,-87.659824776,1167520.0,1917696.0,7,32,19,1932,651525
116XX S THROOP ST,STREET,41.682162232,-87.654223275,1169757.0,1827503.0,53,34,5,524,624316
039XX W GRAND AVE,PARKING LOT/GARAGE(NON.RESID.),41.905862337,-87.725678075,1149662.0,1908872.0,23,27,25,2535,707844
031XX N HARDING AVE,APARTMENT,41.938001344,-87.725931722,1149510.0,1920583.0,21,31,25,2523,216412
017XX W 79TH ST,SIDEWALK,41.750324322,-87.666166809,1166302.0,1852315.0,71,21,6,611,20293
034XX N ASHLAND AVE,COLLEGE/UNIVERSITY RESIDENCE HALL,41.944172132,-87.668784809,1165041.0,1922947.0,6,44,19,1922,291436
057XX S HERMITAGE AVE,VEHICLE NON-COMMERCIAL,41.789406165,-87.668112217,1165661.0,1866552.0,67,15,7,715,742840
005XX E 75TH ST,STREET,41.758479664,-87.611127153,1181296.0,1855408.0,69,6,3,323,85176
015XX N WIELAND ST,SIDEWALK,41.909821059,-87.635661953,1174154.0,1910501.0,8,27,18,1821,116887
035XX W ARMITAGE AVE,CONVENIENCE STORE,41.917290071,-87.716042409,1152255.0,1913055.0,22,26,14,1422,521256
0000X E 89TH ST,RESIDENCE,41.732722512,-87.621827933,1178454.0,1845998.0,44,6,6,634,32783
042XX N PAULINA ST,STREET,41.95854667,-87.670745843,1164467.0,1928181.0,6,47,19,1912,391319
063XX S CALIFORNIA AVE,RESIDENCE,41.778177286,-87.693367894,1158804.0,1862408.0,66,15,8,825,359183
066XX S HALSTED ST,SMALL RETAIL STORE,41.773054421,-87.644613656,1172117.0,1860644.0,68,6,7,723,271017
051XX S WESTERN AVE,SMALL RETAIL STORE,41.800692217,-87.684213423,1161239.0,1870631.0,63,14,9,923,113442
043XX S PULASKI RD,ATHLETIC CLUB,41.814457781,-87.723831928,1150401.0,1875568.0,57,14,8,821,311177
038XX W WILCOX ST,RESIDENTIAL YARD (FRONT/BACK),41.87891831,-87.721861126,1150771.0,1899061.0,26,28,11,1122,199810
047XX W ARTHINGTON ST,COMMERCIAL / BUSINESS OFFICE,41.869565873,-87.743366081,1144938.0,1895612.0,25,24,11,1131,578155
086XX S STONY ISLAND AVE,VEHICLE NON-COMMERCIAL,41.737506567,-87.585216242,1188432.0,1847826.0,45,8,4,412,528329
070XX S ROCKWELL ST,APARTMENT,41.765779636,-87.688165049,1160257.0,1857901.0,66,18,8,831,727464
053XX S LAFLIN ST,STREET,41.796786995,-87.662226844,1167245.0,1869254.0,61,16,9,934,526495
014XX W HURON ST,STREET,41.89432116,-87.662760397,1166822.0,1904794.0,24,27,12,1324,132677
048XX W LAWRENCE AVE,CTA TRAIN,41.968019225,-87.748448602,1143309.0,1931479.0,12,45,16,1623,179716
022XX N HAMILTON AVE,APARTMENT,41.921786023,-87.681447918,1161658.0,1914763.0,22,32,14,1432,28947
042XX S MOZART ST,RESIDENCE PORCH/HALLWAY,41.81651137,-87.695682715,1158069.0,1876372.0,58,12,9,921,606173
030XX S LOWE AVE,STREET,41.839440637,-87.642680243,1172450.0,1884839.0,60,11,9,914,393044
071XX S PERRY AVE,RESIDENCE,41.764436178,-87.628137842,1176637.0,1857540.0,69,6,7,731,673718
073XX S DANTE AVE,RESIDENCE,41.761701782,-87.589667196,1187141.0,1856632.0,43,5,3,324,16977
008XX N OGDEN AVE,VEHICLE NON-COMMERCIAL,41.897736896,-87.653284796,1169392.0,1906059.0,24,27,12,1323,113055
054XX W HIRSCH ST,RESIDENCE,41.905784473,-87.763479829,1139372.0,1908773.0,25,37,25,2532,460896
077XX S SEELEY AVE,RESIDENCE,41.75290498,-87.674426269,1164041.0,1853238.0,71,18,6,611,20417
017XX N MELVINA AVE,STREET,41.911925492,-87.780196665,1134807.0,1910981.0,25,29,25,2513,629067
103XX S DOTY AVE E,POLICE FACILITY/VEH PARKING LOT,41.707756212,-87.580708771,1189757.0,1836996.0,51,10,4,434,160477
004XX E 71ST ST,SIDEWALK,41.765738006,-87.613699619,1180572.0,1858047.0,69,6,3,323,237593
086XX S ESCANABA AVE,RESIDENCE,41.738363073,-87.553882809,1196981.0,1848214.0,46,10,4,423,143509
030XX N TROY ST,RESIDENCE,41.936389347,-87.706320799,1154850.0,1920034.0,21,35,14,1411,85290
049XX N MOBILE AVE,RESIDENCE,41.971465046,-87.785536165,1133215.0,1932668.0,11,45,16,1622,4110
034XX W LEXINGTON ST,SIDEWALK,41.871807494,-87.711552906,1153597.0,1896490.0,27,24,11,1133,609333
018XX S KEDZIE AVE,SIDEWALK,41.856139886,-87.705380034,1155320.0,1890793.0,29,24,10,1022,248866
077XX S LANGLEY AVE,APARTMENT,41.754361055,-87.607735643,1182234.0,1853915.0,69,6,6,624,298160
030XX N PARKSIDE AVE,ALLEY,41.935533161,-87.767610711,1138176.0,1919606.0,19,31,25,2514,151464
063XX S DAMEN AVE,VEHICLE NON-COMMERCIAL,41.778868505,-87.673896581,1164113.0,1862700.0,67,15,7,726,302997
046XX S SACRAMENTO AVE,STREET,41.809101635,-87.699119791,1157152.0,1873665.0,58,14,9,922,273049
088XX S HALSTED ST,STREET,41.733801771,-87.643553001,1172521.0,1846343.0,71,21,22,2223,555812
064XX S KEDZIE AVE,ALLEY,41.776916526,-87.703092193,1156155.0,1861929.0,66,15,8,823,411036
013XX N LOCKWOOD AVE,STREET,41.904614339,-87.758306923,1140783.0,1908356.0,25,37,25,2532,744924
047XX N MALDEN ST,RESIDENTIAL YARD (FRONT/BACK),41.967739956,-87.662744777,1166617.0,1931548.0,3,46,19,1913,585905
013XX W 31ST ST,STREET,41.837858626,-87.66002178,1167729.0,1884225.0,60,11,9,913,738903
045XX W JACKSON BLVD,RESIDENCE-GARAGE,41.876930299,-87.738355955,1146284.0,1898305.0,26,24,11,1131,295457
033XX S GILES AVE,PARK PROPERTY,41.834273532,-87.619397991,1178810.0,1883008.0,35,2,2,211,600436
002XX E 111TH ST,PARKING LOT/GARAGE(NON.RESID.),41.692667212,-87.617099632,1179866.0,1831413.0,49,9,5,513,218265
065XX N KEDZIE AVE,RESIDENTIAL YARD (FRONT/BACK),42.000011136,-87.709364533,1153853.0,1943212.0,2,50,24,2412,646960
001XX S CANAL ST,OTHER,41.880152467,-87.639631162,1173161.0,1899681.0,28,2,1,121,45823
112XX S WASHTENAW AVE,RESIDENCE,41.689110447,-87.688448398,1160389.0,1829963.0,75,19,22,2212,26517
005XX E WALDRON DR,BOAT/WATERCRAFT,41.860395114,-87.613083455,1180451.0,1892541.0,33,2,1,132,503427
053XX S CALUMET AVE,STREET,41.797516981,-87.617671692,1179392.0,1869618.0,40,3,2,231,732041
002XX E 121ST PL,STREET,41.673550064,-87.61664177,1180049.0,1824448.0,53,9,5,532,32449
012XX W 63RD ST,STREET,41.779590639,-87.656037725,1168982.0,1863001.0,67,16,7,713,671183
106XX S AVENUE F,RESIDENTIAL YARD (FRONT/BACK),41.702179904,-87.530451445,1203499.0,1835088.0,52,10,4,432,188851
027XX N LARAMIE AVE,VEHICLE NON-COMMERCIAL,41.930024432,-87.756366236,1141249.0,1917619.0,19,31,25,2514,615046
073XX S MORGAN ST,SIDEWALK,41.760754146,-87.649150862,1170915.0,1856152.0,68,17,7,733,46820
052XX N NEW ENGLAND AVE,STREET,41.97596207,-87.798770094,1129606.0,1934284.0,10,41,16,1613,220015
049XX W HURON ST,ALLEY,41.893128801,-87.749429852,1143228.0,1904187.0,25,37,15,1531,567606
057XX S BISHOP ST,RESIDENCE PORCH/HALLWAY,41.789462555,-87.660829146,1167647.0,1866588.0,67,16,7,713,317560
030XX W PALMER BLVD,STREET,41.920683056,-87.704615331,1155356.0,1914314.0,22,35,14,1414,142283
031XX N CICERO AVE,SIDEWALK,41.937231827,-87.746826163,1143827.0,1920263.0,19,31,25,2521,181385
008XX N NOBLE ST,CTA BUS,41.896605083,-87.662413277,1166910.0,1905627.0,24,27,12,1213,503188
016XX W FARGO AVE,RESIDENCE PORCH/HALLWAY,42.017031797,-87.670893468,1164262.0,1949493.0,1,49,24,2422,181886
046XX S KARLOV AVE,STREET,41.808709363,-87.726065221,1149807.0,1873469.0,57,14,8,815,127956
011XX W WILSON AVE,SIDEWALK,41.965378579,-87.659232283,1167579.0,1930695.0,3,46,19,1913,406431
115XX S WALLACE ST,RESIDENCE,41.683850134,-87.63727383,1174382.0,1828155.0,53,34,5,524,430971
002XX W ADAMS ST,BANK,41.879383612,-87.634124064,1174663.0,1899413.0,32,2,1,122,26162
015XX W WABANSIA AVE,PARKING LOT/GARAGE(NON.RESID.),41.912460878,-87.66706012,1165600.0,1911395.0,24,1,14,1433,414373
063XX W HERMIONE ST,RESIDENCE PORCH/HALLWAY,41.994794939,-87.786410323,1132923.0,1941168.0,10,45,16,1611,432651
062XX S MASON AVE,RESIDENCE,41.779225109,-87.770324835,1137811.0,1862643.0,64,13,8,812,569704
0000X S KILDARE AVE,VEHICLE NON-COMMERCIAL,41.880376739,-87.733017784,1147729.0,1899571.0,26,28,11,1115,461166
006XX W 70TH ST,STREET,41.767087662,-87.639941476,1173409.0,1858480.0,68,6,7,732,280433
033XX W POTOMAC AVE,APARTMENT,41.904625153,-87.710400701,1153824.0,1908451.0,23,26,14,1422,321215
017XX W 50TH ST,SIDEWALK,41.803102759,-87.669037861,1165370.0,1871541.0,61,16,9,931,511531
077XX S CRANDON AVE,STREET,41.754505986,-87.568724657,1192878.0,1854060.0,43,7,4,414,430446
077XX S CREGIER AVE,STREET,41.754449393,-87.58093681,1189546.0,1854010.0,43,8,4,414,756420
044XX W 66TH ST,STREET,41.773073537,-87.733146884,1147967.0,1860470.0,65,13,8,833,728204
004XX E 43RD ST,ALLEY,41.81666814,-87.61485024,1180103.0,1876603.0,38,3,2,221,541144
032XX S WELLS ST,STREET,41.835906739,-87.632828774,1175145.0,1883573.0,34,11,9,915,136513
014XX N WELLS ST,STREET,41.908313654,-87.634624014,1174441.0,1909954.0,8,43,18,1821,608689
040XX W CULLOM AVE,RESIDENCE PORCH/HALLWAY,41.959117325,-87.72838576,1148788.0,1928273.0,16,39,17,1722,109988
030XX N NASHVILLE AVE,RESIDENCE-GARAGE,41.935106538,-87.790658317,1131906.0,1919410.0,19,36,25,2511,392966
073XX S COLES AVE,SIDEWALK,41.762678075,-87.561274896,1194884.0,1857056.0,43,7,3,334,558582
024XX N CLYBOURN AVE,APARTMENT,41.926043169,-87.670571491,1164606.0,1916337.0,7,32,19,1931,106048
052XX W QUINCY ST,RESIDENCE,41.87755659,-87.755674411,1141566.0,1898501.0,25,29,15,1522,524485
001XX E ONTARIO ST,SIDEWALK,41.893346968,-87.623496831,1177515.0,1904525.0,8,42,18,1834,542356
079XX S LAFAYETTE AVE,RESIDENTIAL YARD (FRONT/BACK),41.749929136,-87.625797344,1177319.0,1852259.0,44,17,6,623,124121
003XX S LAVERGNE AVE,RESIDENTIAL YARD (FRONT/BACK),41.876440216,-87.749269677,1143313.0,1898106.0,25,24,15,1533,110433
002XX S CICERO AVE,STREET,41.877780501,-87.745181593,1144423.0,1898602.0,25,28,11,1113,359412
021XX W DIVISION ST,SIDEWALK,41.9031335,-87.680484236,1161972.0,1907968.0,24,32,14,1424,403938
063XX N MAGNOLIA AVE,RESIDENCE PORCH/HALLWAY,41.997149302,-87.661770242,1166798.0,1942267.0,77,40,24,2433,584471
052XX S TRIPP AVE,STREET,41.797464447,-87.729409683,1148924.0,1869365.0,57,23,8,815,663277
021XX W 70TH PL,RESIDENCE PORCH/HALLWAY,41.765684997,-87.676307912,1163492.0,1857891.0,67,17,7,735,719945
048XX W VAN BUREN ST,RESIDENCE,41.874961664,-87.746158435,1144164.0,1897573.0,25,24,15,1533,551249
051XX S PULASKI RD,CTA PLATFORM,41.799413753,-87.723340031,1150574.0,1870087.0,62,23,8,822,353701
037XX S STATE ST,CTA BUS,41.827135532,-87.626470528,1176904.0,1880391.0,35,3,2,213,559431
003XX S CAMPBELL AVE,SIDEWALK,41.876289271,-87.688732825,1159800.0,1898169.0,28,2,11,1125,269688
114XX S LOTHAIR AVE,STREET,41.684785946,-87.67643603,1163682.0,1828412.0,75,19,22,2212,407672
091XX S BISHOP ST,STREET,41.728109566,-87.659190756,1168269.0,1844235.0,73,21,22,2222,248395
097XX S TORRENCE AVE,RESIDENCE-GARAGE,41.718487734,-87.559818783,1195426.0,1840957.0,51,7,4,431,721492
007XX N LOCKWOOD AVE,RESIDENTIAL YARD (FRONT/BACK),41.89385819,-87.758014087,1140889.0,1904437.0,25,37,15,1524,402724
032XX W NORTH AVE,STREET,41.910111112,-87.707415663,1154622.0,1910456.0,23,26,14,1422,620040
090XX S STONY ISLAND AVE,VEHICLE NON-COMMERCIAL,41.730499515,-87.585510037,1188374.0,1845272.0,48,8,4,413,753281
023XX W MOFFAT ST,RESIDENCE,41.914735955,-87.686273921,1160364.0,1912184.0,22,1,14,1434,35338
104XX S DR MARTIN LUTHER KING JR DR,APARTMENT,41.70488296,-87.613704805,1180756.0,1835872.0,49,9,5,512,543943
055XX W NORTH AVE,OTHER,41.909397663,-87.763837115,1139266.0,1910089.0,25,37,25,2532,187573
011XX W MADISON ST,RESIDENCE,41.881632203,-87.656283167,1168622.0,1900184.0,28,2,12,1232,285688
033XX S OAKLEY AVE,RESIDENCE,41.833491458,-87.682696898,1161562.0,1882586.0,59,12,9,912,509214
038XX W 31ST ST,STREET,41.836938252,-87.721134332,1151078.0,1883765.0,30,22,10,1031,156992
002XX W 93RD PL,RESIDENCE,41.724895013,-87.630182222,1176197.0,1843127.0,49,21,6,634,326530
023XX W MARQUETTE RD,VEHICLE NON-COMMERCIAL,41.771980202,-87.682538054,1161775.0,1860172.0,66,17,8,832,17003
003XX W 72ND ST,APARTMENT,41.763557582,-87.633004163,1175312.0,1857209.0,69,6,7,731,480213
044XX S LEAMINGTON AVE,RESIDENTIAL YARD (FRONT/BACK),41.812122142,-87.751838848,1142772.0,1874664.0,56,23,8,814,166809
063XX N CALIFORNIA AVE,CTA BUS STOP,41.996747,-87.699610832,1156513.0,1942042.0,2,50,24,2413,246278
027XX S CENTRAL PARK AVE,VEHICLE NON-COMMERCIAL,41.841774965,-87.714720949,1152813.0,1885540.0,30,22,10,1032,557516
063XX S CHAMPLAIN AVE,STREET,41.779614605,-87.60956284,1181658.0,1863113.0,42,20,3,312,343688
034XX W OHIO ST,RESIDENCE,41.89182683,-87.713084988,1153127.0,1903782.0,23,27,11,1121,427
082XX S MARQUETTE AVE,STREET,41.745493404,-87.558846113,1195603.0,1850800.0,46,7,4,423,252286
073XX W ADDISON ST,RESIDENCE,41.945184683,-87.811069304,1126330.0,1923048.0,17,36,16,1631,611591
105XX S WABASH AVE,RESIDENCE,41.702507126,-87.622201417,1178443.0,1834987.0,49,9,5,512,385485
014XX W ELMDALE AVE,APARTMENT,41.990850329,-87.665823898,1165714.0,1939963.0,77,48,24,2433,695602
012XX N MILWAUKEE AVE,STREET,41.904891813,-87.668872721,1165128.0,1908633.0,24,1,14,1424,468806
046XX W ERIE ST,SIDEWALK,41.892326707,-87.742304586,1145170.0,1903908.0,25,28,11,1111,653753
013XX N KOSTNER AVE,PARKING LOT/GARAGE(NON.RESID.),41.904550887,-87.736196711,1146802.0,1908374.0,23,37,25,2533,161987
032XX W 61ST PL,SIDEWALK,41.7816858,-87.704537748,1155748.0,1863664.0,66,15,8,823,515066
088XX S PRINCETON AVE,SIDEWALK,41.733571929,-87.631879156,1175708.0,1846285.0,49,21,6,634,753387
036XX W LAKE ST,CTA PLATFORM,41.884994578,-87.71733391,1151988.0,1901284.0,27,28,11,1122,17239
007XX E 35TH ST,STREET,41.831213306,-87.607950789,1181939.0,1881919.0,36,4,2,212,368805
102XX S WENTWORTH AVE,SIDEWALK,41.707951257,-87.628337988,1176751.0,1836957.0,49,9,5,511,62737
0000X E ERIE ST,RESTAURANT,41.894078738,-87.627797026,1176342.0,1904782.0,8,42,18,1834,378461
016XX W PIERCE AVE,RESIDENCE,41.909856449,-87.668453856,1165228.0,1910443.0,24,1,14,1433,252013
034XX N NORMANDY AVE,RESIDENCE,41.942693689,-87.793435293,1131133.0,1922170.0,17,36,16,1632,759327
074XX N ASHLAND BLVD,RESIDENCE,42.016570274,-87.670331548,1164416.0,1949326.0,1,49,24,2422,371366
078XX S KOSTNER AVE,RESIDENCE,41.750768385,-87.731679931,1148424.0,1852345.0,70,13,8,834,105360
027XX W ARTHUR AVE,PARKING LOT/GARAGE(NON.RESID.),41.999422228,-87.697560868,1157063.0,1943021.0,2,50,24,2412,427512
066XX S CAMPBELL AVE,RESIDENCE,41.773212271,-87.685916638,1160850.0,1860614.0,66,15,8,832,227610
064XX S MAY ST,ABANDONED BUILDING,41.776832411,-87.653214449,1169760.0,1862002.0,68,16,7,724,644873
015XX W FARWELL AVE,RESIDENCE PORCH/HALLWAY,42.006639689,-87.6685398,1164931.0,1945711.0,1,49,24,2431,9169
043XX W JACKSON BLVD,ALLEY,41.876981804,-87.734011599,1147467.0,1898332.0,26,28,11,1115,692617
066XX S HALSTED ST,PARKING LOT/GARAGE(NON.RESID.),41.772972076,-87.644610871,1172118.0,1860614.0,68,16,7,723,620460
111XX S LANGLEY AVE,RESIDENCE,41.692196734,-87.605985248,1182903.0,1831267.0,50,9,5,531,269300
002XX E 132ND ST,SIDEWALK,41.655619517,-87.616361219,1180180.0,1817915.0,54,9,5,533,751322
053XX W MADISON ST,SIDEWALK,41.880318927,-87.759281249,1140577.0,1899501.0,25,28,15,1522,83167
045XX N SHERIDAN RD,OTHER,41.963815538,-87.654770303,1168797.0,1930135.0,3,46,19,1914,194916
015XX E 68TH ST,DRIVEWAY - RESIDENTIAL,41.771501168,-87.587475462,1187708.0,1860208.0,43,5,3,332,651835
033XX N RAVENSWOOD AVE,DRIVEWAY - RESIDENTIAL,41.942687483,-87.673538178,1163752.0,1922396.0,6,32,19,1922,161531
056XX W BYRON ST,RESIDENCE,41.951326099,-87.76759975,1138141.0,1925361.0,15,38,16,1633,665047
012XX S ST LOUIS AVE,RESIDENCE,41.865624069,-87.712960178,1153230.0,1894234.0,29,24,10,1021,92960
066XX S DR MARTIN LUTHER KING JR DR,SIDEWALK,41.774146678,-87.615478975,1180061.0,1861107.0,69,20,3,312,317023
037XX N MEADE AVE,SIDEWALK,41.94876675,-87.779058531,1135030.0,1924408.0,17,38,16,1633,481727
